generation,algorithm,value,metric
110,NSGA-III,0.39446690377141996,HV
120,NSGA-III,0.4150493073717032,HV
130,NSGA-III,0.4346775284162174,HV
140,NSGA-III,0.45339593929945016,HV
150,NSGA-III,0.4712468489644248,HV
160,NSGA-III,0.4882705988594759,HV
170,NSGA-III,0.5045056544327442,HV
180,NSGA-III,0.5199886923718982,HV
190,NSGA-III,0.5347546837869429,HV
200,NSGA-III,0.5488369735247757,HV
210,NSGA-III,0.5622673557953723,HV
220,NSGA-III,0.575076146281126,HV
230,NSGA-III,0.5872922508928825,HV
240,NSGA-III,0.5989432313286098,HV
250,NSGA-III,0.6100553675833906,HV
260,NSGA-III,0.6206537175525092,HV
270,NSGA-III,0.6307621738628134,HV
280,NSGA-III,0.6404035180612461,HV
290,NSGA-III,0.6495994722834433,HV
300,NSGA-III,0.6583707485195869,HV
310,NSGA-III,0.6667370955892432,HV
320,NSGA-III,0.6747173439317309,HV
330,NSGA-III,0.6823294483135982,HV
340,NSGA-III,0.6895905285500735,HV
350,NSGA-III,0.6965169083328445,HV
360,NSGA-III,0.7031241522522272,HV
370,NSGA-III,0.709427101097691,HV
380,NSGA-III,0.7154399055168021,HV
390,NSGA-III,0.7211760581089243,HV
400,NSGA-III,0.7266484240264632,HV
410,NSGA-III,0.7318692701530615,HV
420,NSGA-III,0.7368502929249173,HV
430,NSGA-III,0.7416026448583284,HV
440,NSGA-III,0.7461369598436232,HV
450,NSGA-III,0.7504633772628478,HV
460,NSGA-III,0.7545915649859075,HV
470,NSGA-III,0.7585307412973161,HV
480,NSGA-III,0.7622896958032868,HV
490,NSGA-III,0.7658768093665776,HV
500,NSGA-III,0.7693000731143076,HV
510,NSGA-III,0.7725671065618503,HV
520,NSGA-III,0.7756851748939119,HV
530,NSGA-III,0.7786612054419855,HV
540,NSGA-III,0.7815018033955555,HV
550,NSGA-III,0.784213266782681,HV
560,NSGA-III,0.7868016007539379,HV
570,NSGA-III,0.7892725312021137,HV
580,NSGA-III,0.791631517748545,HV
590,NSGA-III,0.7938837661255508,HV
600,NSGA-III,0.7960342399830447,HV
610,NSGA-III,0.7980876721461045,HV
620,NSGA-III,0.8000485753490295,HV
630,NSGA-III,0.801921252470232,HV
640,NSGA-III,0.8037098062911753,HV
650,NSGA-III,0.8054181488014907,HV
660,NSGA-III,0.8070500100713794,HV
670,NSGA-III,0.8086089467114193,HV
680,NSGA-III,0.8100983499389661,HV
690,NSGA-III,0.8115214532694414,HV
700,NSGA-III,0.8128813398499533,HV
710,NSGA-III,0.8141809494518806,HV
720,NSGA-III,0.8154230851382809,HV
730,NSGA-III,0.8166104196212439,HV
740,NSGA-III,0.8177455013236083,HV
750,NSGA-III,0.8188307601587903,HV
760,NSGA-III,0.819868513041833,HV
770,NSGA-III,0.8208609691441738,HV
780,NSGA-III,0.8218102349040523,HV
790,NSGA-III,0.8227183188039143,HV
800,NSGA-III,0.8235871359256564,HV
810,NSGA-III,0.824418512294035,HV
820,NSGA-III,0.8252141890180947,HV
830,NSGA-III,0.8259758262400081,HV
840,NSGA-III,0.8267050069002806,HV
850,NSGA-III,0.8274032403278642,HV
860,NSGA-III,0.8280719656633183,HV
870,NSGA-III,0.8287125551227843,HV
880,NSGA-III,0.8293263171101737,HV
890,NSGA-III,0.8299144991846324,HV
900,NSGA-III,0.830478290890007,HV
910,NSGA-III,0.8310188264527322,HV
920,NSGA-III,0.8315371873542602,HV
930,NSGA-III,0.8320344047838621,HV
940,NSGA-III,0.8325114619773681,HV
950,NSGA-III,0.8329692964471478,HV
960,NSGA-III,0.8334088021083909,HV
970,NSGA-III,0.8338308313065086,HV
980,NSGA-III,0.8342361967502548,HV
990,NSGA-III,0.8346256733549521,HV
1000,NSGA-III,0.835,HV
0,MOEA/D,0.07999999999999996,HV
10,MOEA/D,0.10154141564345326,HV
20,MOEA/D,0.12238422164296271,HV
30,MOEA/D,0.14255132114689767,HV
40,MOEA/D,0.1620648664491127,HV
50,MOEA/D,0.1809462836048865,HV
60,MOEA/D,0.19921629623985462,HV
70,MOEA/D,0.21689494857839184,HV
80,MOEA/D,0.23400162771703545,HV
90,MOEA/D,0.25055508516769764,HV
100,MOEA/D,0.26657345769460833,HV
110,MOEA/D,0.2820742874681415,HV
120,MOEA/D,0.29707454155792007,HV
130,MOEA/D,0.31159063078686144,HV
140,MOEA/D,0.32563842796711345,HV
150,MOEA/D,0.33923328553814536,HV
160,MOEA/D,0.3523900526265935,HV
170,MOEA/D,0.3651230915468188,HV
180,MOEA/D,0.37744629376051125,HV
190,MOEA/D,0.38937309531307657,HV
200,MOEA/D,0.400916491763958,HV
210,MOEA/D,0.41208905262748374,HV
220,MOEA/D,0.42290293534028744,HV
230,MOEA/D,0.43336989877082177,HV
240,MOEA/D,0.44350131628597733,HV
250,MOEA/D,0.4533081883893276,HV
260,MOEA/D,0.46280115494504237,HV
270,MOEA/D,0.4719905070010533,HV
280,MOEA/D,0.48088619822461104,HV
290,MOEA/D,0.489497855962939,HV
300,MOEA/D,0.49783479194127667,HV
310,MOEA/D,0.5059060126101991,HV
320,MOEA/D,0.5137202291537104,HV
330,MOEA/D,0.5212858671692339,HV
340,MOEA/D,0.5286110760302534,HV
350,MOEA/D,0.5357037379420114,HV
360,MOEA/D,0.5425714767003256,HV
370,MOEA/D,0.549221666163258,HV
380,MOEA/D,0.5556614384450485,HV
390,MOEA/D,0.5618976918414202,HV
400,MOEA/D,0.5679370984950632,HV
410,MOEA/D,0.5737861118098112,HV
420,MOEA/D,0.5794509736217557,HV
430,MOEA/D,0.5849377211352604,HV
440,MOEA/D,0.5902521936315883,HV
450,MOEA/D,0.5954000389575919,HV
460,MOEA/D,0.6003867198016801,HV
470,MOEA/D,0.6052175197640337,HV
480,MOEA/D,0.6098975492278167,HV
490,MOEA/D,0.614431751037904,HV
500,MOEA/D,0.6188249059934418,HV
510,MOEA/D,0.6230816381603367,HV
520,MOEA/D,0.6272064200095834,HV
530,MOEA/D,0.6312035773871373,HV
540,MOEA/D,0.6350772943208542,HV
550,MOEA/D,0.6388316176698416,HV
560,MOEA/D,0.6424704616213842,HV
570,MOEA/D,0.6459976120404441,HV
580,MOEA/D,0.6494167306765672,HV
590,MOEA/D,0.6527313592328702,HV
600,MOEA/D,0.6559449233016301,HV
610,MOEA/D,0.6590607361708517,HV
620,MOEA/D,0.6620820025060383,HV
630,MOEA/D,0.6650118219112615,HV
640,MOEA/D,0.6678531923734846,HV
650,MOEA/D,0.6706090135939671,HV
660,MOEA/D,0.6732820902104543,HV
670,MOEA/D,0.675875134913729,HV
680,MOEA/D,0.6783907714619924,HV
690,MOEA/D,0.6808315375964202,HV
700,MOEA/D,0.6831998878611365,HV
710,MOEA/D,0.6854981963307373,HV
720,MOEA/D,0.6877287592483959,HV
730,MOEA/D,0.6898937975774798,HV
740,MOEA/D,0.691995459469517,HV
750,MOEA/D,0.6940358226512513,HV
760,MOEA/D,0.6960168967334418,HV
770,MOEA/D,0.6979406254439706,HV
780,MOEA/D,0.6998088887877398,HV
790,MOEA/D,0.7016235051357604,HV
800,MOEA/D,0.7033862332457501,HV
810,MOEA/D,0.705098774216491,HV
820,MOEA/D,0.706762773378113,HV
830,MOEA/D,0.7083798221204088,HV
840,MOEA/D,0.709951459661208,HV
850,MOEA/D,0.7114791747567775,HV
860,MOEA/D,0.712964407356148,HV
870,MOEA/D,0.7144085502012064,HV
880,MOEA/D,0.7158129503743293,HV
890,MOEA/D,0.71717891079528,HV
900,MOEA/D,0.7185076916690311,HV
910,MOEA/D,0.719800511886122,HV
920,MOEA/D,0.7210585503771076,HV
930,MOEA/D,0.7222829474226015,HV
940,MOEA/D,0.7234748059203722,HV
950,MOEA/D,0.7246351926108986,HV
960,MOEA/D,0.7257651392627474,HV
970,MOEA/D,0.7268656438190877,HV
980,MOEA/D,0.7279376715066204,HV
990,MOEA/D,0.7289821559081507,HV
1000,MOEA/D,0.73,HV
0,NSGA-II,0.07000000000000006,HV
10,NSGA-II,0.0849988570119619,HV
20,NSGA-II,0.09962922320739452,HV
30,NSGA-II,0.11390042696311622,HV
40,NSGA-II,0.12782156050728108,HV
50,NSGA-II,0.1414014858975028,HV
60,NSGA-II,0.15464884084764208,HV
70,NSGA-II,0.16757204440708748,HV
80,NSGA-II,0.18017930249626626,HV
90,NSGA-II,0.19247861330202168,HV
100,NSGA-II,0.2044777725364068,HV
110,NSGA-II,0.21618437856235173,HV
120,NSGA-II,0.2276058373895729,HV
130,NSGA-II,0.2387493675440119,HV
140,NSGA-II,0.24962200481400335,HV
150,NSGA-II,0.26023060687629274,HV
160,NSGA-II,0.27058185780494715,HV
170,NSGA-II,0.2806822724661219,HV
180,NSGA-II,0.29053820080157333,HV
190,NSGA-II,0.3001558320037343,HV
200,NSGA-II,0.30954119858509715,HV
210,NSGA-II,0.31870018034458,HV
220,NSGA-II,0.32763850823348384,HV
230,NSGA-II,0.336361768123583,HV
240,NSGA-II,0.34487540447982584,HV
250,NSGA-II,0.35318472394006073,HV
260,NSGA-II,0.36129489880414106,HV
270,NSGA-II,0.36921097043470297,HV
280,NSGA-II,0.3769378525718526,HV
290,NSGA-II,0.38448033456394104,HV
300,NSGA-II,0.39184308451655286,HV
310,NSGA-II,0.3990306523617767,HV
320,NSGA-II,0.40604747284977805,HV
330,NSGA-II,0.412897868464639,HV
340,NSGA-II,0.41958605226638424,HV
350,NSGA-II,0.4261161306610603,HV
360,NSGA-II,0.43249210610069033,HV
370,NSGA-II,0.4387178797148792,HV
380,NSGA-II,0.4447972538757992,HV
390,NSGA-II,0.45073393469824286,HV
400,NSGA-II,0.4565315344763869,HV
410,NSGA-II,0.4621935740588695,HV
420,NSGA-II,0.4677234851637414,HV
430,NSGA-II,0.47312461263481503,HV
440,NSGA-II,0.47840021664089283,HV
450,NSGA-II,0.483553474819323,HV
460,NSGA-II,0.48858748436528987,HV
470,NSGA-II,0.49350526406821427,HV
480,NSGA-II,0.4983097562966026,HV
490,NSGA-II,0.5030038289326486,HV
500,NSGA-II,0.5075902772578607,HV
510,NSGA-II,0.5120718257909547,HV
520,NSGA-II,0.51645113007922,HV
530,NSGA-II,0.5207307784445375,HV
540,NSGA-II,0.5249132936851959,HV
550,NSGA-II,0.529001134734628,HV
560,NSGA-II,0.5329966982781539,HV
570,NSGA-II,0.5369023203287987,HV
580,NSGA-II,0.5407202777632161,HV
590,NSGA-II,0.5444527898187301,HV
600,NSGA-II,0.5481020195524814,HV
610,NSGA-II,0.5516700752636315,HV
620,NSGA-II,0.5551590118795676,HV
630,NSGA-II,0.5585708323070124,HV
640,NSGA-II,0.5619074887489318,HV
650,NSGA-II,0.5651708839881057,HV
660,NSGA-II,0.5683628726382031,HV
670,NSGA-II,0.5714852623631883,HV
680,NSGA-II,0.5745398150658568,HV
690,NSGA-II,0.5775282480462819,HV
700,NSGA-II,0.5804522351309379,HV
710,NSGA-II,0.5833134077732374,HV
720,NSGA-II,0.5861133561262089,HV
730,NSGA-II,0.58885363008802,HV
740,NSGA-II,0.5915357403210324,HV
750,NSGA-II,0.5941611592450596,HV
760,NSGA-II,0.5967313220054805,HV
770,NSGA-II,0.5992476274168451,HV
780,NSGA-II,0.601711438882592,HV
790,NSGA-II,0.6041240852914845,HV
800,NSGA-II,0.606486861891352,HV
810,NSGA-II,0.6088010311407133,HV
820,NSGA-II,0.6110678235388408,HV
830,NSGA-II,0.6132884384348117,HV
840,NSGA-II,0.615464044816078,HV
850,NSGA-II,0.6175957820770732,HV
860,NSGA-II,0.6196847607683625,HV
870,NSGA-II,0.6217320633268278,HV
880,NSGA-II,0.6237387447873677,HV
890,NSGA-II,0.6257058334765817,HV
900,NSGA-II,0.6276343316888922,HV
910,NSGA-II,0.6295252163455521,HV
920,NSGA-II,0.6313794396369686,HV
930,NSGA-II,0.6331979296487663,HV
940,NSGA-II,0.6349815909720022,HV
950,NSGA-II,0.6367313052979328,HV
960,NSGA-II,0.6384479319977241,HV
970,NSGA-II,0.640132308687487,HV
980,NSGA-II,0.6417852517790085,HV
990,NSGA-II,0.6434075570165403,HV
1000,NSGA-II,0.645,HV
0,IA-NSGA-III,0.52,IGD
10,IA-NSGA-III,0.473851101680652,IGD
20,IA-NSGA-III,0.4318944997116763,IGD
30,IA-NSGA-III,0.3937493509800904,IGD
40,IA-NSGA-III,0.35906940951600047,IGD
50,IA-NSGA-III,0.32753988356505787,IGD
60,IA-NSGA-III,0.2988745781756319,IGD
70,IA-NSGA-III,0.2728132973635286,IGD
80,IA-NSGA-III,0.24911948227330774,IGD
90,IA-NSGA-III,0.22757806389742588,IGD
100,IA-NSGA-III,0.20799351086201204,IGD
110,IA-NSGA-III,0.19018805455872687,IGD
120,IA-NSGA-III,0.17400007551195737,IGD
130,IA-NSGA-III,0.15928263633415557,IGD
140,IA-NSGA-III,0.14590214795273296,IGD
150,IA-NSGA-III,0.13373715700164757,IGD
160,IA-NSGA-III,0.12267724337065335,IGD
170,IA-NSGA-III,0.11262201790509693,IGD
180,IA-NSGA-III,0.10348021115823036,IGD
190,IA-NSGA-III,0.09516884492450475,IGD
200,IA-NSGA-III,0.08761247903372717,IGD
210,IA-NSGA-III,0.08074252656911488,IGD
220,IA-NSGA-III,0.07449663129337783,IGD
230,IA-NSGA-III,0.06881810163163025,IGD
240,IA-NSGA-III,0.06365539607330796,IGD
250,IA-NSGA-III,0.05896165532200576,IGD
260,IA-NSGA-III,0.05469427694648838,IGD
270,IA-NSGA-III,0.05081452867191598,IGD
280,IA-NSGA-III,0.04728719680107068,IGD
290,IA-NSGA-III,0.04408026657424928,IGD
300,IA-NSGA-III,0.0411646315664005,IGD
310,IA-NSGA-III,0.038513829483659875,IGD
320,IA-NSGA-III,0.03610380196106724,IGD
330,IA-NSGA-III,0.033912676181113904,IGD
340,IA-NSGA-III,0.031920566330838056,IGD
350,IA-NSGA-III,0.03010939309526359,IGD
360,IA-NSGA-III,0.028462719548697196,IGD
370,IA-NSGA-III,0.02696560195424369,IGD
380,IA-NSGA-III,0.025604454117224187,IGD
390,IA-NSGA-III,0.024366924061212193,IGD
400,IA-NSGA-III,0.0232417819072573,IGD
410,IA-NSGA-III,0.02221881793855901,IGD
420,IA-NSGA-III,0.02128874992530821,IGD
430,IA-NSGA-III,0.0204431388684697,IGD
440,IA-NSGA-III,0.019674312397699154,IGD
450,IA-NSGA-III,0.018975295128065943,IGD
460,IA-NSGA-III,0.0183397453434188,IGD
470,IA-NSGA-III,0.01776189743165994,IGD
480,IA-NSGA-III,0.0172365095494035,IGD
490,IA-NSGA-III,0.01675881604096269,IGD
500,IA-NSGA-III,0.016324484179765335,IGD
510,IA-NSGA-III,0.01592957483953311,IGD
520,IA-NSGA-III,0.01557050673823078,IGD
530,IA-NSGA-III,0.015244023930222247,IGD
540,IA-NSGA-III,0.01494716625155479,IGD
550,IA-NSGA-III,0.014677242450098837,IGD
560,IA-NSGA-III,0.01443180575664137,IGD
570,IA-NSGA-III,0.01420863167518814,IGD
580,IA-NSGA-III,0.014005697790873836,IGD
590,IA-NSGA-III,0.013821165412193474,IGD
600,IA-NSGA-III,0.013653362880918842,IGD
610,IA-NSGA-III,0.013500770398201477,IGD
620,IA-NSGA-III,0.013362006229126418,IGD
630,IA-NSGA-III,0.013235814160493384,IGD
640,IA-NSGA-III,0.013121052097977705,IGD
650,IA-NSGA-III,0.013016681699165741,IGD
660,IA-NSGA-III,0.01292175894836222,IGD
670,IA-NSGA-III,0.012835425587615606,IGD
680,IA-NSGA-III,0.012756901326179609,IGD
690,IA-NSGA-III,0.012685476757694924,IGD
700,IA-NSGA-III,0.012620506920799369,IGD
710,IA-NSGA-III,0.012561405444715115,IGD
720,IA-NSGA-III,0.012507639226671578,IGD
730,IA-NSGA-III,0.012458723592850168,IGD
740,IA-NSGA-III,0.012414217898926022,IGD
750,IA-NSGA-III,0.01237372153027217,IGD
760,IA-NSGA-III,0.012336870265519401,IGD
770,IA-NSGA-III,0.012303332970463252,IGD
780,IA-NSGA-III,0.012272808592308282,IGD
790,IA-NSGA-III,0.012245023426965873,IGD
800,IA-NSGA-III,0.012219728634600415,IGD
810,IA-NSGA-III,0.012196697980872116,IGD
820,IA-NSGA-III,0.012175725783373358,IGD
830,IA-NSGA-III,0.012156625044618065,IGD
840,IA-NSGA-III,0.012139225754636974,IGD
850,IA-NSGA-III,0.01212337334777117,IGD
860,IA-NSGA-III,0.012108927299656009,IGD
870,IA-NSGA-III,0.012095759851659988,IGD
880,IA-NSGA-III,0.012083754851200152,IGD
890,IA-NSGA-III,0.012072806697407339,IGD
900,IA-NSGA-III,0.012062819382570986,IGD
910,IA-NSGA-III,0.012053705620662464,IGD
920,IA-NSGA-III,0.012045386055026473,IGD
930,IA-NSGA-III,0.012037788538048563,IGD
940,IA-NSGA-III,0.01203084747626022,IGD
950,IA-NSGA-III,0.012024503234936926,IGD
960,IA-NSGA-III,0.012018701596784677,IGD
970,IA-NSGA-III,0.012013393269801307,IGD
980,IA-NSGA-III,0.012008533439845467,IGD
990,IA-NSGA-III,0.012004081363851817,IGD
1000,IA-NSGA-III,0.012,IGD
0,NSGA-III,0.5900000000000001,IGD
10,NSGA-III,0.5620293414711386,IGD
20,NSGA-III,0.5354913060318418,IGD
30,NSGA-III,0.5103124423513675,IGD
40,NSGA-III,0.4864230649868935,IGD
50,NSGA-III,0.46375706130448724,IGD
60,NSGA-III,0.4422517082993346,IGD
70,NSGA-III,0.42184749880769357,IGD
80,NSGA-III,0.4024879766290499,IGD
90,NSGA-III,0.384119580101646,IGD
100,NSGA-III,0.36669149369797366,IGD
110,NSGA-III,0.35015550722904354,IGD
120,NSGA-III,0.334465882267324,IGD
130,NSGA-III,0.3195792254182462,IGD
140,NSGA-III,0.3054543680891449,IGD
150,NSGA-III,0.2920522524225076,IGD
160,NSGA-III,0.27933582307748606,IGD
170,NSGA-III,0.2672699245598254,IGD
180,NSGA-III,0.25582120381574147,IGD
190,NSGA-III,0.2449580178198607,IGD
200,NSGA-III,0.23465034590117426,IGD
210,NSGA-III,0.2248697065640862,IGD
220,NSGA-III,0.21558907857408974,IGD
230,NSGA-III,0.20678282608942172,IGD
240,NSGA-III,0.19842662763125657,IGD
250,NSGA-III,0.19049740869563475,IGD
260,NSGA-III,0.1829732778204132,IGD
270,NSGA-III,0.175833465930096,IGD
280,NSGA-III,0.16905826879048758,IGD
290,NSGA-III,0.1626289924137253,IGD
300,NSGA-III,0.15652790126242513,IGD
310,NSGA-III,0.1507381691094266,IGD
320,NSGA-III,0.1452438324169852,IGD
330,NSGA-III,0.14002974610623745,IGD
340,NSGA-III,0.13508154159438826,IGD
350,NSGA-III,0.13038558698335395,IGD
360,NSGA-III,0.12592894928955398,IGD
370,NSGA-III,0.12169935861020081,IGD
380,NSGA-III,0.11768517412680314,IGD
390,NSGA-III,0.11387535185168654,IGD
400,NSGA-III,0.11025941402816754,IGD
410,NSGA-III,0.10682742009959595,IGD
420,NSGA-III,0.10356993916683002,IGD
430,NSGA-III,0.10047802385783093,IGD
440,NSGA-III,0.09754318553697673,IGD
450,NSGA-III,0.0947573707854078,IGD
460,NSGA-III,0.09211293908723701,IGD
470,NSGA-III,0.08960264165979988,IGD
480,NSGA-III,0.0872196013692882,IGD
490,NSGA-III,0.0849572936761202,IGD
500,NSGA-III,0.08280952855725113,IGD
510,NSGA-III,0.0807704333553364,IGD
520,NSGA-III,0.0788344365072272,IGD
530,NSGA-III,0.07699625210671449,IGD
540,NSGA-III,0.07525086525874909,IGD
550,NSGA-III,0.07359351818455873,IGD
560,NSGA-III,0.07201969703916272,IGD
570,NSGA-III,0.07052511940475967,IGD
580,NSGA-III,0.06910572242533562,IGD
590,NSGA-III,0.06775765154961713,IGD
600,NSGA-III,0.06647724985117878,IGD
610,NSGA-III,0.06526104789611459,IGD
620,NSGA-III,0.06410575413019894,IGD
630,NSGA-III,0.06300824575890293,IGD
640,NSGA-III,0.061965560094996944,IGD
650,NSGA-III,0.0609748863497662,IGD
660,NSGA-III,0.06003355784509487,IGD
670,NSGA-III,0.059139044624840764,IGD
680,NSGA-III,0.05828894644502863,IGD
690,NSGA-III,0.05748098612343992,IGD
700,NSGA-III,0.056713003230172525,IGD
710,NSGA-III,0.0559829481016888,IGD
720,NSGA-III,0.055288876161766476,IGD
730,NSGA-III,0.054628942533617345,IGD
740,NSGA-III,0.05400139692824543,IGD
750,NSGA-III,0.05340457879488171,IGD
760,NSGA-III,0.05283691272005854,IGD
770,NSGA-III,0.052296904062575957,IGD
780,NSGA-III,0.0517831348122655,IGD
790,NSGA-III,0.051294259661077396,IGD
800,NSGA-III,0.05082900227560513,IGD
810,NSGA-III,0.05038615176071958,IGD
820,NSGA-III,0.049964559304514586,IGD
830,NSGA-III,0.049563134995267745,IGD
840,NSGA-III,0.049180844801597394,IGD
850,NSGA-III,0.048816707707448524,IGD
860,NSGA-III,0.04846979299396934,IGD
870,NSGA-III,0.04813921766074755,IGD
880,NSGA-III,0.04782414397926116,IGD
890,NSGA-III,0.04752377717176509,IGD
900,NSGA-III,0.04723736320918251,IGD
910,NSGA-III,0.04696418672189947,IGD
920,NSGA-III,0.046703569017674085,IGD
930,NSGA-III,0.046454866201168635,IGD
940,NSGA-III,0.046217467389894164,IGD
950,NSGA-III,0.04599079302162459,IGD
960,NSGA-III,0.04577429324859052,IGD
970,NSGA-III,0.0455674464140036,IGD
980,NSGA-III,0.04536975760669028,IGD
990,NSGA-III,0.04518075728983022,IGD
1000,NSGA-III,0.045,IGD
0,MOEA/D,0.66,IGD
10,MOEA/D,0.6381816807586167,IGD
20,MOEA/D,0.6171819602188191,IGD
30,MOEA/D,0.596969951599176,IGD
40,MOEA/D,0.5775159335162287,IGD
50,MOEA/D,0.5587913060125268,IGD
60,MOEA/D,0.5407685482437843,IGD
70,MOEA/D,0.5234211777625517,IGD
80,MOEA/D,0.5067237113381683,IGD
90,MOEA/D,0.4906516272550289,IGD
100,MOEA/D,0.4751813290333837,IGD
110,MOEA/D,0.46029011051900065,IGD
120,MOEA/D,0.44595612229003845,IGD
130,MOEA/D,0.4321583393314325,IGD
140,MOEA/D,0.41887652992896707,IGD
150,MOEA/D,0.40609122573701445,IGD
160,MOEA/D,0.3937836929756565,IGD
170,MOEA/D,0.38193590471457656,IGD
180,MOEA/D,0.3705305142027146,IGD
190,MOEA/D,0.3595508292042299,IGD
200,MOEA/D,0.3489807873028,IGD
210,MOEA/D,0.33880493213772095,IGD
220,MOEA/D,0.3290083905366491,IGD
230,MOEA/D,0.31957685051115514,IGD
