run,algorithm,metric,value,data_status,generation_method
1,IA-NSGA-III,HV,0.9528617193983016,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
29,IA-NSGA-III,HV,0.9607330451890572,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
29,IA-NSGA-III,IGD,0.0121027016142113,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
30,IA-NSGA-III,HV,0.9645532265102226,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
30,IA-NSGA-III,IGD,0.0154016224639694,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
1,NSGA-III,HV,0.8268213618963545,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
1,NSGA-III,IGD,0.0459872127991717,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
2,NSGA-III,HV,0.8228962107845864,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
2,NSGA-III,IGD,0.0428922020250957,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
3,NSGA-III,HV,0.8404167569546934,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
3,NSGA-III,IGD,0.0443089336609415,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
4,NSGA-III,HV,0.8332787169490127,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
4,NSGA-III,IGD,0.0503343647468034,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
5,NSGA-III,HV,0.8393698911141644,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
5,NSGA-III,IGD,0.0396639456563611,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
6,NSGA-III,HV,0.8356383874856329,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
6,NSGA-III,IGD,0.0463664790434195,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
7,NSGA-III,HV,0.8323535297400715,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
7,NSGA-III,IGD,0.0417500234550879,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
8,NSGA-III,HV,0.8123962197262194,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
8,NSGA-III,IGD,0.0537815764617332,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
9,NSGA-III,HV,0.8532688271352901,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
9,NSGA-III,IGD,0.0463408030571928,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
10,NSGA-III,HV,0.8402231503372221,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
10,NSGA-III,IGD,0.046848180832471,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
11,NSGA-III,HV,0.8431220445030535,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
11,NSGA-III,IGD,0.0351411216280659,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
12,NSGA-III,HV,0.8402034527717874,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
12,NSGA-III,IGD,0.0472521648795471,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
13,NSGA-III,HV,0.837219884387304,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
13,NSGA-III,IGD,0.0388573272840794,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
14,NSGA-III,HV,0.8505102856149389,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
14,NSGA-III,IGD,0.0407202412423771,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
15,NSGA-III,HV,0.8451987437707621,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
15,NSGA-III,IGD,0.0421740520320775,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
16,NSGA-III,HV,0.8471324626113187,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
16,NSGA-III,IGD,0.0439273328296852,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
17,NSGA-III,HV,0.8277524430249567,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
17,NSGA-III,IGD,0.0590512643353715,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
18,NSGA-III,HV,0.8456677151490624,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
18,NSGA-III,IGD,0.0384950183180906,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
19,NSGA-III,HV,0.8451465276231672,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
19,NSGA-III,IGD,0.0550130034528763,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
20,NSGA-III,HV,0.8439411003361751,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
20,NSGA-III,IGD,0.0306844310210303,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
21,NSGA-III,HV,0.8370610624901246,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
21,NSGA-III,IGD,0.0415582657326152,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
22,NSGA-III,HV,0.841878798968764,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
22,NSGA-III,IGD,0.0407628370591671,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
23,NSGA-III,HV,0.832745476365811,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
23,NSGA-III,IGD,0.0411239879461654,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
24,NSGA-III,HV,0.8281895934660364,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
24,NSGA-III,IGD,0.0377796302796108,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
25,NSGA-III,HV,0.833200713254601,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
25,NSGA-III,IGD,0.0392917677048047,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
26,NSGA-III,HV,0.8324342285413475,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
26,NSGA-III,IGD,0.0433488477378616,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
27,NSGA-III,HV,0.8288683012567925,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
27,NSGA-III,IGD,0.0517762812833472,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
28,NSGA-III,HV,0.8181295553549216,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
28,NSGA-III,IGD,0.0511906675020249,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
29,NSGA-III,HV,0.8110701968394112,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
29,NSGA-III,IGD,0.0482576255767182,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
30,NSGA-III,HV,0.8705679113617393,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
30,NSGA-III,IGD,0.0372595726480161,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
1,MOEA/D,HV,0.7508525806915035,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
1,MOEA/D,IGD,0.1017323731466855,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
2,MOEA/D,HV,0.7390604540611503,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
2,MOEA/D,IGD,0.0812938620444548,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
3,MOEA/D,HV,0.7627324679606796,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
3,MOEA/D,IGD,0.1015952298778322,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
4,MOEA/D,HV,0.762475573517276,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
4,MOEA/D,IGD,0.0788242490366328,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
5,MOEA/D,HV,0.7495978646838027,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
5,MOEA/D,IGD,0.0714284259336691,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
6,MOEA/D,HV,0.7216376585030752,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
6,MOEA/D,IGD,0.1013865598019572,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
7,MOEA/D,HV,0.7688665784152946,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
7,MOEA/D,IGD,0.0819058315945675,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
8,MOEA/D,HV,0.7339974236004819,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
8,MOEA/D,IGD,0.0752703673455692,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
9,MOEA/D,HV,0.7379388348414544,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
9,MOEA/D,IGD,0.0920818164640532,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
10,MOEA/D,HV,0.7626235633846918,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
10,MOEA/D,IGD,0.0961809100159829,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
11,MOEA/D,HV,0.749328271149128,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
11,MOEA/D,IGD,0.0730249012256909,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
12,MOEA/D,HV,0.7709111940301488,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
12,MOEA/D,IGD,0.0717957328504202,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
13,MOEA/D,HV,0.7407850285419665,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
13,MOEA/D,IGD,0.0934833594740317,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
14,MOEA/D,HV,0.7593762324263147,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
14,MOEA/D,IGD,0.0970194412332236,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
15,MOEA/D,HV,0.7283603086211343,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
15,MOEA/D,IGD,0.0805729119487025,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
16,MOEA/D,HV,0.7677818056136058,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
16,MOEA/D,IGD,0.1040431268990345,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
17,MOEA/D,HV,0.7429048387166962,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
17,MOEA/D,IGD,0.076959338657402,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
18,MOEA/D,HV,0.7569246214701209,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
18,MOEA/D,IGD,0.0899041483392034,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
19,MOEA/D,HV,0.7803773614743182,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
19,MOEA/D,IGD,0.0573180509239959,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
20,MOEA/D,HV,0.7799200801079733,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
20,MOEA/D,IGD,0.0864869745669723,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
21,MOEA/D,HV,0.786368940636802,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
21,MOEA/D,IGD,0.0933471187942411,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
22,MOEA/D,HV,0.7133355155895388,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
22,MOEA/D,IGD,0.0845342998533145,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
23,MOEA/D,HV,0.7349136020182307,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
23,MOEA/D,IGD,0.1027040444563509,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
24,MOEA/D,HV,0.7303201027467298,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
24,MOEA/D,IGD,0.0983757482068268,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
25,MOEA/D,HV,0.7300690191358483,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
25,MOEA/D,IGD,0.085947709840111,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
26,MOEA/D,HV,0.7137394966977433,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
26,MOEA/D,IGD,0.074291249848572,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
27,MOEA/D,HV,0.7428106547466264,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
27,MOEA/D,IGD,0.1009055288822622,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
28,MOEA/D,HV,0.7536895023491978,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
28,MOEA/D,IGD,0.0956956493332552,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
29,MOEA/D,HV,0.7394641904128727,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
29,MOEA/D,IGD,0.0965262718784264,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
30,MOEA/D,HV,0.7392098879298041,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
