generation,indicator,variant,value
900,Social reliability,IA-NSGA-III,0.9598812184860791
910,Social reliability,IA-NSGA-III,0.9598955094223145
920,Social reliability,IA-NSGA-III,0.9599080811556514
930,Social reliability,IA-NSGA-III,0.9599191404659694
940,Social reliability,IA-NSGA-III,0.9599288692715545
950,Social reliability,IA-NSGA-III,0.9599374276161844
960,Social reliability,IA-NSGA-III,0.9599449562977901
970,Social reliability,IA-NSGA-III,0.9599515791815943
980,Social reliability,IA-NSGA-III,0.9599574052355178
990,Social reliability,IA-NSGA-III,0.9599625303211368
1000,Social reliability,IA-NSGA-III,0.9599670387694992
0,Social reliability,I-NSGA-III,0.13095121913087235
10,Social reliability,I-NSGA-III,0.13822001570365525
20,Social reliability,I-NSGA-III,0.14643621030555243
30,Social reliability,I-NSGA-III,0.15569668357688438
40,Social reliability,I-NSGA-III,0.16610047971661718
50,Social reliability,I-NSGA-III,0.1777463960581364
60,Social reliability,I-NSGA-III,0.19072986679669796
70,Social reliability,I-NSGA-III,0.20513910517095746
80,Social reliability,I-NSGA-III,0.2210505230073243
90,Social reliability,I-NSGA-III,0.23852352323789316
100,Social reliability,I-NSGA-III,0.25759485852990427
110,Social reliability,I-NSGA-III,0.27827286137407625
120,Social reliability,I-NSGA-III,0.300531965523396
130,Social reliability,I-NSGA-III,0.32430803669927777
140,Social reliability,I-NSGA-III,0.34949508814416147
150,Social reliability,I-NSGA-III,0.375943948966462
160,Social reliability,I-NSGA-III,0.40346336047911974
170,Social reliability,I-NSGA-III,0.4318237905555577
180,Social reliability,I-NSGA-III,0.4607639899161433
190,Social reliability,I-NSGA-III,0.49000000000000005
200,Social reliability,I-NSGA-III,0.5192360100838568
210,Social reliability,I-NSGA-III,0.5481762094444423
220,Social reliability,I-NSGA-III,0.5765366395208803
230,Social reliability,I-NSGA-III,0.604056051033538
240,Social reliability,I-NSGA-III,0.6305049118558386
250,Social reliability,I-NSGA-III,0.6556919633007222
260,Social reliability,I-NSGA-III,0.679468034476604
270,Social reliability,I-NSGA-III,0.7017271386259237
280,Social reliability,I-NSGA-III,0.7224051414700958
290,Social reliability,I-NSGA-III,0.7414764767621068
300,Social reliability,I-NSGA-III,0.7589494769926757
310,Social reliability,I-NSGA-III,0.7748608948290425
320,Social reliability,I-NSGA-III,0.789270133203302
330,Social reliability,I-NSGA-III,0.8022536039418635
340,Social reliability,I-NSGA-III,0.8138995202833829
350,Social reliability,I-NSGA-III,0.8243033164231156
360,Social reliability,I-NSGA-III,0.8335637896944476
370,Social reliability,I-NSGA-III,0.8417799842963447
380,Social reliability,I-NSGA-III,0.8490487808691277
390,Social reliability,I-NSGA-III,0.8554631217712347
400,Social reliability,I-NSGA-III,0.8611107839943953
410,Social reliability,I-NSGA-III,0.8660736061307382
420,Social reliability,I-NSGA-III,0.8704270787586836
430,Social reliability,I-NSGA-III,0.8742402157541125
440,Social reliability,I-NSGA-III,0.8775756348271301
450,Social reliability,I-NSGA-III,0.8804897872335051
460,Social reliability,I-NSGA-III,0.8830332879385279
470,Social reliability,I-NSGA-III,0.885251307831085
480,Social reliability,I-NSGA-III,0.8871839985611262
490,Social reliability,I-NSGA-III,0.8888669281061296
500,Social reliability,I-NSGA-III,0.8903315113113552
510,Social reliability,I-NSGA-III,0.8916054245268045
520,Social reliability,I-NSGA-III,0.8927129972503479
530,Social reliability,I-NSGA-III,0.8936755765594121
540,Social reliability,I-NSGA-III,0.8945118622420866
550,Social reliability,I-NSGA-III,0.8952382120739689
560,Social reliability,I-NSGA-III,0.8958689177595199
570,Social reliability,I-NSGA-III,0.8964164527743756
580,Social reliability,I-NSGA-III,0.8968916937959299
590,Social reliability,I-NSGA-III,0.8973041176635341
600,Social reliability,I-NSGA-III,0.8976619759216643
610,Social reliability,I-NSGA-III,0.8979724490115596
620,Social reliability,I-NSGA-III,0.8982417821211223
630,Social reliability,I-NSGA-III,0.8984754046031894
640,Social reliability,I-NSGA-III,0.8986780347462086
650,Social reliability,I-NSGA-III,0.8988537715415391
660,Social reliability,I-NSGA-III,0.8990061749470093
670,Social reliability,I-NSGA-III,0.8991383360031318
680,Social reliability,I-NSGA-III,0.8992529380205915
690,Social reliability,I-NSGA-III,0.8993523099277762
700,Social reliability,I-NSGA-III,0.8994384727466896
710,Social reliability,I-NSGA-III,0.8995131800552024
720,Social reliability,I-NSGA-III,0.8995779531933636
730,Social reliability,I-NSGA-III,0.899634111881192
740,Social reliability,I-NSGA-III,0.8996828008344732
750,Social reliability,I-NSGA-III,0.8997250128930177
760,Social reliability,I-NSGA-III,0.8997616091118722
770,Social reliability,I-NSGA-III,0.8997933362094154
780,Social reliability,I-NSGA-III,0.89982084171639
790,Social reliability,I-NSGA-III,0.8998446871260635
800,Social reliability,I-NSGA-III,0.8998653593071914
810,Social reliability,I-NSGA-III,0.8998832804077272
820,Social reliability,I-NSGA-III,0.8998988164476912
830,Social reliability,I-NSGA-III,0.8999122847738272
840,Social reliability,I-NSGA-III,0.899923960526154
850,Social reliability,I-NSGA-III,0.8999340822468889
860,Social reliability,I-NSGA-III,0.8999428567451166
870,Social reliability,I-NSGA-III,0.8999504633156766
880,Social reliability,I-NSGA-III,0.8999570573977894
890,Social reliability,I-NSGA-III,0.899962773747664
900,Social reliability,I-NSGA-III,0.8999677291895322
910,Social reliability,I-NSGA-III,0.8999720250010381
920,Social reliability,I-NSGA-III,0.8999757489815167
930,Social reliability,I-NSGA-III,0.8999789772452635
940,Social reliability,I-NSGA-III,0.8999817757763293
950,Social reliability,I-NSGA-III,0.8999842017765193
960,Social reliability,I-NSGA-III,0.8999863048340847
970,Social reliability,I-NSGA-III,0.899988127936939
980,Social reliability,I-NSGA-III,0.8999897083510724
990,Social reliability,I-NSGA-III,0.8999910783820866
1000,Social reliability,I-NSGA-III,0.8999922660353992
0,Social reliability,A-NSGA-III,0.1293397910267866
10,Social reliability,A-NSGA-III,0.1347413940028737
20,Social reliability,A-NSGA-III,0.14068654401699485
30,Social reliability,A-NSGA-III,0.14721912625304961
40,Social reliability,A-NSGA-III,0.15438415561783986
50,Social reliability,A-NSGA-III,0.1622272199338014
60,Social reliability,A-NSGA-III,0.17079378064338296
70,Social reliability,A-NSGA-III,0.1801283196599977
80,Social reliability,A-NSGA-III,0.1902733255719486
90,Social reliability,A-NSGA-III,0.20126811903142952
100,Social reliability,A-NSGA-III,0.21314752604340698
110,Social reliability,A-NSGA-III,0.2259404190450851
120,Social reliability,A-NSGA-III,0.23966815892298604
130,Social reliability,A-NSGA-III,0.25434298590761206
140,Social reliability,A-NSGA-III,0.269966422675122
150,Social reliability,A-NSGA-III,0.28652776760893056
160,Social reliability,A-NSGA-III,0.30400276828430595
170,Social reliability,A-NSGA-III,0.32235257282767416
180,Social reliability,A-NSGA-III,0.34152305782221437
190,Social reliability,A-NSGA-III,0.36144462410900424
200,Social reliability,A-NSGA-III,0.38203253503851636
210,Social reliability,A-NSGA-III,0.40318784533878665
220,Social reliability,A-NSGA-III,0.4247989339454476
230,Social reliability,A-NSGA-III,0.44674361342656016
240,Social reliability,A-NSGA-III,0.46889174580319615
250,Social reliability,A-NSGA-III,0.49110825419680393
260,Social reliability,A-NSGA-III,0.51325638657344
270,Social reliability,A-NSGA-III,0.5352010660545524
280,Social reliability,A-NSGA-III,0.5568121546612135
290,Social reliability,A-NSGA-III,0.5779674649614837
300,Social reliability,A-NSGA-III,0.5985553758909957
310,Social reliability,A-NSGA-III,0.6184769421777856
320,Social reliability,A-NSGA-III,0.6376474271723259
330,Social reliability,A-NSGA-III,0.655997231715694
340,Social reliability,A-NSGA-III,0.6734722323910695
350,Social reliability,A-NSGA-III,0.690033577324878
360,Social reliability,A-NSGA-III,0.7056570140923879
370,Social reliability,A-NSGA-III,0.720331841077014
380,Social reliability,A-NSGA-III,0.7340595809549149
390,Social reliability,A-NSGA-III,0.746852473956593
400,Social reliability,A-NSGA-III,0.7587318809685705
410,Social reliability,A-NSGA-III,0.7697266744280514
420,Social reliability,A-NSGA-III,0.7798716803400023
430,Social reliability,A-NSGA-III,0.789206219356617
440,Social reliability,A-NSGA-III,0.7977727800661987
450,Social reliability,A-NSGA-III,0.8056158443821602
460,Social reliability,A-NSGA-III,0.8127808737469503
470,Social reliability,A-NSGA-III,0.8193134559830052
480,Social reliability,A-NSGA-III,0.8252586059971263
490,Social reliability,A-NSGA-III,0.8306602089732134
500,Social reliability,A-NSGA-III,0.8355605918739105
510,Social reliability,A-NSGA-III,0.8400002076800533
520,Social reliability,A-NSGA-III,0.8440174164968178
530,Social reliability,A-NSGA-III,0.8476483481455974
540,Social reliability,A-NSGA-III,0.8509268318825741
550,Social reliability,A-NSGA-III,0.8538843802287265
560,Social reliability,A-NSGA-III,0.8565502153989148
570,Social reliability,A-NSGA-III,0.8589513283596295
580,Social reliability,A-NSGA-III,0.8611125620421688
590,Social reliability,A-NSGA-III,0.8630567116359459
600,Social reliability,A-NSGA-III,0.8648046361535916
610,Social reliability,A-NSGA-III,0.8663753765807072
620,Social reliability,A-NSGA-III,0.8677862768957004
630,Social reliability,A-NSGA-III,0.8690531050743597
640,Social reliability,A-NSGA-III,0.8701901718899335
650,Social reliability,A-NSGA-III,0.8712104458955255
660,Social reliability,A-NSGA-III,0.8721256634457444
670,Social reliability,A-NSGA-III,0.872946432992991
680,Social reliability,A-NSGA-III,0.873682333194065
690,Social reliability,A-NSGA-III,0.8743420045973956
700,Social reliability,A-NSGA-III,0.8749332348612969
710,Social reliability,A-NSGA-III,0.8754630375890072
720,Social reliability,A-NSGA-III,0.8759377249653438
730,Social reliability,A-NSGA-III,0.8763629744497395
740,Social reliability,A-NSGA-III,0.8767438898272831
750,Social reliability,A-NSGA-III,0.8770850569481293
760,Social reliability,A-NSGA-III,0.8773905945004303
770,Social reliability,A-NSGA-III,0.8776642001660864
780,Social reliability,A-NSGA-III,0.8779091925048447
790,Social reliability,A-NSGA-III,0.8781285489027619
800,Social reliability,A-NSGA-III,0.8783249399074728
810,Social reliability,A-NSGA-III,0.87850076025646
820,Social reliability,A-NSGA-III,0.8786581568866139
830,Social reliability,A-NSGA-III,0.8787990541946105
840,Social reliability,A-NSGA-III,0.8789251767986314
850,Social reliability,A-NSGA-III,0.8790380700331423
860,Social reliability,A-NSGA-III,0.8791391183901539
870,Social reliability,A-NSGA-III,0.8792295621028436
880,Social reliability,A-NSGA-III,0.8793105120507622
890,Social reliability,A-NSGA-III,0.8793829631501703
900,Social reliability,A-NSGA-III,0.8794478063784128
910,Social reliability,A-NSGA-III,0.879505839567621
920,Social reliability,A-NSGA-III,0.8795577770904611
930,Social reliability,A-NSGA-III,0.8796042585490689
940,Social reliability,A-NSGA-III,0.8796458565676768
950,Social reliability,A-NSGA-III,0.879683083779737
960,Social reliability,A-NSGA-III,0.8797163990914685
970,Social reliability,A-NSGA-III,0.8797462132956996
980,Social reliability,A-NSGA-III,0.8797728941025457
990,Social reliability,A-NSGA-III,0.8797967706468179
1000,Social reliability,A-NSGA-III,0.8798181375260455
0,Social reliability,NSGA-III,0.13853901991728496
10,Social reliability,NSGA-III,0.14363109587543138
20,Social reliability,NSGA-III,0.14912118349045578
30,Social reliability,NSGA-III,0.1550324077939358
40,Social reliability,NSGA-III,0.16138783030582227
50,Social reliability,NSGA-III,0.16821016229636698
60,Social reliability,NSGA-III,0.17552143348859744
70,Social reliability,NSGA-III,0.1833426157284025
80,Social reliability,NSGA-III,0.1916932026611461
90,Social reliability,NSGA-III,0.20059074831971802
100,Social reliability,NSGA-III,0.21005036974087926
110,Social reliability,NSGA-III,0.2200842212475646
120,Social reliability,NSGA-III,0.23070095079164227
130,Social reliability,NSGA-III,0.241905151630522
140,Social reliability,NSGA-III,0.2536968254540943
150,Social reliability,NSGA-III,0.26607087568545035
160,Social reliability,NSGA-III,0.2790166518137964
170,Social reliability,NSGA-III,0.2925175670230519
180,Social reliability,NSGA-III,0.30655081179533605
190,Social reliability,NSGA-III,0.3210871853607135
200,Social reliability,NSGA-III,0.3360910646554311
210,Social reliability,NSGA-III,0.351520526751424
220,Social reliability,NSGA-III,0.36732763555870057
230,Social reliability,NSGA-III,0.38345889714571013
240,Social reliability,NSGA-III,0.3998558805816258
250,Social reliability,NSGA-III,0.41645599322249516
260,Social reliability,NSGA-III,0.4331933913871271
270,Social reliability,NSGA-III,0.45
280,Social reliability,NSGA-III,0.466806608612873
290,Social reliability,NSGA-III,0.48354400677750486
300,Social reliability,NSGA-III,0.5001441194183742
310,Social reliability,NSGA-III,0.5165411028542899
320,Social reliability,NSGA-III,0.5326723644412994
330,Social reliability,NSGA-III,0.548479473248576
340,Social reliability,NSGA-III,0.5639089353445689
350,Social reliability,NSGA-III,0.5789128146392865
360,Social reliability,NSGA-III,0.593449188204664
370,Social reliability,NSGA-III,0.6074824329769479
380,Social reliability,NSGA-III,0.6209833481862036
390,Social reliability,NSGA-III,0.6339291243145495
400,Social reliability,NSGA-III,0.6463031745459056
410,Social reliability,NSGA-III,0.658094848369478
420,Social reliability,NSGA-III,0.6692990492083577
430,Social reliability,NSGA-III,0.6799157787524354
440,Social reliability,NSGA-III,0.6899496302591207
450,Social reliability,NSGA-III,0.6994092516802819
460,Social reliability,NSGA-III,0.7083067973388539
470,Social reliability,NSGA-III,0.7166573842715974
480,Social reliability,NSGA-III,0.7244785665114025
490,Social reliability,NSGA-III,0.7317898377036329
500,Social reliability,NSGA-III,0.7386121696941776
510,Social reliability,NSGA-III,0.7449675922060641
520,Social reliability,NSGA-III,0.7508788165095441
530,Social reliability,NSGA-III,0.7563689041245686
540,Social reliability,NSGA-III,0.761460980082715
550,Social reliability,NSGA-III,0.7661779891043616
560,Social reliability,NSGA-III,0.770542492187695
570,Social reliability,NSGA-III,0.7745765005214158
580,Social reliability,NSGA-III,0.7783013432809763
590,Social reliability,NSGA-III,0.7817375657064687
600,Social reliability,NSGA-III,0.7849048538486006
610,Social reliability,NSGA-III,0.7878219824709575
620,Social reliability,NSGA-III,0.7905067827800415
630,Social reliability,NSGA-III,0.7929761268924678
640,Social reliability,NSGA-III,0.7952459262192124
650,Social reliability,NSGA-III,0.7973311412325426
660,Social reliability,NSGA-III,0.7992458003689318
670,Social reliability,NSGA-III,0.801003026101128
680,Social reliability,NSGA-III,0.8026150664777797
690,Social reliability,NSGA-III,0.8040933306752249
700,Social reliability,NSGA-III,0.8054484273306807
710,Social reliability,NSGA-III,0.8066902046280522
720,Social reliability,NSGA-III,0.8078277912868707
730,Social reliability,NSGA-III,0.8088696377622363
740,Social reliability,NSGA-III,0.8098235571003108
750,Social reliability,NSGA-III,0.8106967650114506
760,Social reliability,NSGA-III,0.8114959188232307
770,Social reliability,NSGA-III,0.8122271550601687
780,Social reliability,NSGA-III,0.8128961254676991
790,Social reliability,NSGA-III,0.813508031356548
800,Social reliability,NSGA-III,0.8140676561917389
810,Social reliability,NSGA-III,0.8145793963894317
820,Social reliability,NSGA-III,0.8150472903160292
830,Social reliability,NSGA-III,0.8154750455086163
840,Social reliability,NSGA-III,0.81586606415488
850,Social reliability,NSGA-III,0.8162234668851192
860,Social reliability,NSGA-III,0.816550114939553
870,Social reliability,NSGA-III,0.8168486307815865
880,Social reliability,NSGA-III,0.8171214172325528
890,Social reliability,NSGA-III,0.8173706752062306
900,Social reliability,NSGA-III,0.8175984201225522
910,Social reliability,NSGA-III,0.817806497079714
920,Social reliability,NSGA-III,0.8179965948626823
930,Social reliability,NSGA-III,0.8181702588640903
940,Social reliability,NSGA-III,0.8183289029909435
950,Social reliability,NSGA-III,0.8184738206275763
960,Social reliability,NSGA-III,0.8186061947220216
970,Social reliability,NSGA-III,0.8187271070595378
980,Social reliability,NSGA-III,0.818837546783501
990,Social reliability,NSGA-III,0.8189384182203449
1000,Social reliability,NSGA-III,0.8190305480617178
0,Social reliability,NSGA-II,0.1348077998683762
10,Social reliability,NSGA-II,0.1382313275319481
20,Social reliability,NSGA-II,0.1418453032542048
30,Social reliability,NSGA-II,0.14565735658626908
40,Social reliability,NSGA-II,0.14967504779164117
50,Social reliability,NSGA-II,0.15390581165371287
60,Social reliability,NSGA-II,0.15835689540196798
70,Social reliability,NSGA-II,0.16303529076092566
80,Social reliability,NSGA-II,0.16794766023830243
90,Social reliability,NSGA-II,0.17310025789970535
100,Social reliability,NSGA-II,0.1784988450261674
110,Social reliability,NSGA-II,0.1841486012169668
120,Social reliability,NSGA-II,0.19005403168148577
130,Social reliability,NSGA-II,0.19621887165735957
140,Social reliability,NSGA-II,0.2026459890936793
150,Social reliability,NSGA-II,0.20933728694214787
160,Social reliability,NSGA-II,0.21629360659922314
170,Social reliability,NSGA-II,0.22351463423060908
180,Social reliability,NSGA-II,0.23099881187714938
190,Social reliability,NSGA-II,0.23874325537865004
200,Social reliability,NSGA-II,0.246743681249397
210,Social reliability,NSGA-II,0.2549943446862012
220,Social reliability,NSGA-II,0.2634879908773593
230,Social reliability,NSGA-II,0.27221582170088027
240,Social reliability,NSGA-II,0.2811674797465384
250,Social reliability,NSGA-II,0.2903310513651934
260,Social reliability,NSGA-II,0.29969309014000683
270,Social reliability,NSGA-II,0.3092386617909942
280,Social reliability,NSGA-II,0.31895141107411934
290,Social reliability,NSGA-II,0.32881365073027974
300,Social reliability,NSGA-II,0.3388064719933649
310,Social reliability,NSGA-II,0.3489098755988277
320,Social reliability,NSGA-II,0.35910292166626373
330,Social reliability,NSGA-II,0.3693638962842986
340,Social reliability,NSGA-II,0.3796704921269649
350,Social reliability,NSGA-II,0.39
360,Social reliability,NSGA-II,0.4003295078730351
370,Social reliability,NSGA-II,0.4106361037157014
380,Social reliability,NSGA-II,0.42089707833373635
390,Social reliability,NSGA-II,0.43109012440117234
400,Social reliability,NSGA-II,0.44119352800663514
410,Social reliability,NSGA-II,0.45118634926972023
420,Social reliability,NSGA-II,0.46104858892588074
430,Social reliability,NSGA-II,0.4707613382090058
440,Social reliability,NSGA-II,0.4803069098599932
450,Social reliability,NSGA-II,0.48966894863480664
460,Social reliability,NSGA-II,0.49883252025346164
470,Social reliability,NSGA-II,0.5077841782991197
480,Social reliability,NSGA-II,0.5165120091226407
490,Social reliability,NSGA-II,0.5250056553137988
500,Social reliability,NSGA-II,0.533256318750603
510,Social reliability,NSGA-II,0.54125674462135
520,Social reliability,NSGA-II,0.5490011881228506
530,Social reliability,NSGA-II,0.5564853657693909
540,Social reliability,NSGA-II,0.5637063934007769
550,Social reliability,NSGA-II,0.5706627130578521
560,Social reliability,NSGA-II,0.5773540109063207
570,Social reliability,NSGA-II,0.5837811283426404
580,Social reliability,NSGA-II,0.5899459683185142
590,Social reliability,NSGA-II,0.5958513987830331
600,Social reliability,NSGA-II,0.6015011549738326
610,Social reliability,NSGA-II,0.6068997421002946
620,Social reliability,NSGA-II,0.6120523397616976
630,Social reliability,NSGA-II,0.6169647092390743
640,Social reliability,NSGA-II,0.621643104598032
650,Social reliability,NSGA-II,0.626094188346287
660,Social reliability,NSGA-II,0.6303249522083587
670,Social reliability,NSGA-II,0.6343426434137309
680,Social reliability,NSGA-II,0.6381546967457952
690,Social reliability,NSGA-II,0.6417686724680519
700,Social reliability,NSGA-II,0.6451922001316238
710,Social reliability,NSGA-II,0.6484329281737681
720,Social reliability,NSGA-II,0.6514984791398939
730,Social reliability,NSGA-II,0.6543964103004122
740,Social reliability,NSGA-II,0.6571341793871249
750,Social reliability,NSGA-II,0.6597191151402283
760,Social reliability,NSGA-II,0.6621583923347449
770,Social reliability,NSGA-II,0.6644590109427013
780,Social reliability,NSGA-II,0.6666277790830776
790,Social reliability,NSGA-II,0.6686712994140436
800,Social reliability,NSGA-II,0.6705959586299086
810,Social reliability,NSGA-II,0.672407919737382
820,Social reliability,NSGA-II,0.6741131168010991
830,Social reliability,NSGA-II,0.6757172518660061
840,Social reliability,NSGA-II,0.6772257937833416
850,Social reliability,NSGA-II,0.678643978686949
860,Social reliability,NSGA-II,0.6799768118869606
870,Social reliability,NSGA-II,0.6812290709680907
880,Social reliability,NSGA-II,0.6824053098995158
890,Social reliability,NSGA-II,0.683509863982343
900,Social reliability,NSGA-II,0.6845468554787892
910,Social reliability,NSGA-II,0.6855201997842743
920,Social reliability,NSGA-II,0.6864336120195991
930,Social reliability,NSGA-II,0.6872906139351713
940,Social reliability,NSGA-II,0.6880945410328583
950,Social reliability,NSGA-II,0.6888485498235032
960,Social reliability,NSGA-II,0.6895556251494518
970,Social reliability,NSGA-II,0.6902185875116632
980,Social reliability,NSGA-II,0.6908401003501706
990,Social reliability,NSGA-II,0.6914226772348754
1000,Social reliability,NSGA-II,0.6919686889309685
0,Economic efficiency,IA-NSGA-III,0.1385902356982212
10,Economic efficiency,IA-NSGA-III,0.1459966166184819
20,Economic efficiency,IA-NSGA-III,0.15425355985934985
30,Economic efficiency,IA-NSGA-III,0.16343633778480285
40,Economic efficiency,IA-NSGA-III,0.17362112284151812
50,Economic efficiency,IA-NSGA-III,0.18488335354854674
60,Economic efficiency,IA-NSGA-III,0.19729569989559514
70,Economic efficiency,IA-NSGA-III,0.21092561543437205
80,Economic efficiency,IA-NSGA-III,0.22583248953968915
90,Economic efficiency,IA-NSGA-III,0.24206444848295244
100,Economic efficiency,IA-NSGA-III,0.25965489756074944
110,Economic efficiency,IA-NSGA-III,0.2786189464147578
120,Economic efficiency,IA-NSGA-III,0.29894991171626983
130,Economic efficiency,IA-NSGA-III,0.32061613925292215
140,Economic efficiency,IA-NSGA-III,0.34355842295009564
150,Economic efficiency,IA-NSGA-III,0.36768831230051513
160,Economic efficiency,IA-NSGA-III,0.39288758344288804
170,Economic efficiency,IA-NSGA-III,0.4190090967355361
180,Economic efficiency,IA-NSGA-III,0.44587917394468085
190,Economic efficiency,IA-NSGA-III,0.4733015064547009
200,Economic efficiency,IA-NSGA-III,0.5010624645864103
210,Economic efficiency,IA-NSGA-III,0.5289375354135897
220,Economic efficiency,IA-NSGA-III,0.5566984935452991
230,Economic efficiency,IA-NSGA-III,0.584120826055319
240,Economic efficiency,IA-NSGA-III,0.6109909032644639
250,Economic efficiency,IA-NSGA-III,0.6371124165571119
260,Economic efficiency,IA-NSGA-III,0.6623116876994849
270,Economic efficiency,IA-NSGA-III,0.6864415770499044
280,Economic efficiency,IA-NSGA-III,0.7093838607470778
290,Economic efficiency,IA-NSGA-III,0.7310500882837301
300,Economic efficiency,IA-NSGA-III,0.7513810535852421
310,Economic efficiency,IA-NSGA-III,0.7703451024392505
320,Economic efficiency,IA-NSGA-III,0.7879355515170474
330,Economic efficiency,IA-NSGA-III,0.8041675104603108
340,Economic efficiency,IA-NSGA-III,0.819074384565628
350,Economic efficiency,IA-NSGA-III,0.8327043001044049
360,Economic efficiency,IA-NSGA-III,0.8451166464514532
370,Economic efficiency,IA-NSGA-III,0.8563788771584817
380,Economic efficiency,IA-NSGA-III,0.8665636622151971
390,Economic efficiency,IA-NSGA-III,0.8757464401406502
400,Economic efficiency,IA-NSGA-III,0.8840033833815181
